"report_date","state","value","location_name","final_value","truth_date","final_perc_change","absolutediff","season"
2022-03-05,"UT",12,"Utah",12,2022-09-12,0,0,"A) 2021-2022"
2022-03-05,"VT",0,"Vermont",0,2022-09-12,NA,0,"A) 2021-2022"
2022-03-05,"VA",35,"Virginia",38,2022-09-12,0.0857142857142857,3,"A) 2021-2022"
2022-03-05,"WA",11,"Washington",12,2022-09-12,0.0909090909090909,1,"A) 2021-2022"
2022-03-05,"WV",35,"West Virginia",30,2022-09-12,-0.142857142857143,-5,"A) 2021-2022"
2022-03-05,"WI",64,"Wisconsin",64,2022-09-12,0,0,"A) 2021-2022"
2022-03-05,"WY",5,"Wyoming",5,2022-09-12,0,0,"A) 2021-2022"
2022-03-12,"AL",30,"Alabama",30,2022-09-12,0,0,"A) 2021-2022"
2022-03-12,"AK",2,"Alaska",2,2022-09-12,0,0,"A) 2021-2022"
2022-03-12,"AZ",81,"Arizona",85,2022-09-12,0.0493827160493827,4,"A) 2021-2022"
2022-03-12,"AR",62,"Arkansas",62,2022-09-12,0,0,"A) 2021-2022"
2022-03-12,"CA",51,"California",45,2022-09-12,-0.117647058823529,-6,"A) 2021-2022"
2022-03-12,"CO",38,"Colorado",42,2022-09-12,0.105263157894737,4,"A) 2021-2022"
2022-03-12,"CT",3,"Connecticut",6,2022-09-12,1,3,"A) 2021-2022"
2022-03-12,"DE",7,"Delaware",7,2022-09-12,0,0,"A) 2021-2022"
2022-03-12,"DC",4,"District of Columbia",4,2022-09-12,0,0,"A) 2021-2022"
2022-03-12,"FL",63,"Florida",69,2022-09-12,0.0952380952380952,6,"A) 2021-2022"
