"","location_name","wk_end_date","value"
"573","New Hampshire",2022-09-17,3
"574","New Hampshire",2022-09-24,2
"575","New Hampshire",2022-10-01,0
"576","New Hampshire",2022-10-08,0
"577","New Hampshire",2022-10-15,0
"578","New Hampshire",2022-10-22,1
"579","New Hampshire",2022-10-29,0
"580","New Hampshire",2022-11-05,3
"581","New Hampshire",2022-11-12,5
"582","New Hampshire",2022-11-19,7
"583","New Hampshire",2022-11-26,12
"584","New Hampshire",2022-12-03,36
"585","New Hampshire",2022-12-10,73
"586","New Hampshire",2022-12-17,87
"587","New Hampshire",2022-12-24,120
"588","New Hampshire",2022-12-31,142
"589","New Hampshire",2023-01-07,101
"590","New Jersey",2022-09-03,9
"591","New Jersey",2022-09-10,13
"592","New Jersey",2022-09-17,9
"593","New Jersey",2022-09-24,19
"594","New Jersey",2022-10-01,17
"595","New Jersey",2022-10-08,28
"596","New Jersey",2022-10-15,31
"597","New Jersey",2022-10-22,32
"598","New Jersey",2022-10-29,76
"599","New Jersey",2022-11-05,183
"600","New Jersey",2022-11-12,309
"601","New Jersey",2022-11-19,324
"602","New Jersey",2022-11-26,581
"603","New Jersey",2022-12-03,892
"604","New Jersey",2022-12-10,738
"605","New Jersey",2022-12-17,603
"606","New Jersey",2022-12-24,533
"607","New Jersey",2022-12-31,503
"608","New Jersey",2023-01-07,318
"609","New Mexico",2022-09-03,21
"610","New Mexico",2022-09-10,7
"611","New Mexico",2022-09-17,4
"612","New Mexico",2022-09-24,9
"613","New Mexico",2022-10-01,12
"614","New Mexico",2022-10-08,27
"615","New Mexico",2022-10-15,22
"616","New Mexico",2022-10-22,29
"617","New Mexico",2022-10-29,56
"618","New Mexico",2022-11-05,97
"619","New Mexico",2022-11-12,154
"620","New Mexico",2022-11-19,159
"621","New Mexico",2022-11-26,190
"622","New Mexico",2022-12-03,371
"623","New Mexico",2022-12-10,417
"624","New Mexico",2022-12-17,318
"625","New Mexico",2022-12-24,240
"626","New Mexico",2022-12-31,210
"627","New Mexico",2023-01-07,134
"628","New York",2022-09-03,21
"629","New York",2022-09-10,14
"630","New York",2022-09-17,20
"631","New York",2022-09-24,12
"632","New York",2022-10-01,29
"633","New York",2022-10-08,38
"634","New York",2022-10-15,49
"635","New York",2022-10-22,49
"636","New York",2022-10-29,107
"637","New York",2022-11-05,206
"638","New York",2022-11-12,300
"639","New York",2022-11-19,508
"640","New York",2022-11-26,871
"641","New York",2022-12-03,1350
"642","New York",2022-12-10,1531
"643","New York",2022-12-17,1750
"644","New York",2022-12-24,1458
"645","New York",2022-12-31,1242
"646","New York",2023-01-07,785
"647","North Carolina",2022-09-03,8
"648","North Carolina",2022-09-10,14
"649","North Carolina",2022-09-17,17
"650","North Carolina",2022-09-24,13
"651","North Carolina",2022-10-01,21
"652","North Carolina",2022-10-08,22
"653","North Carolina",2022-10-15,32
"654","North Carolina",2022-10-22,79
"655","North Carolina",2022-10-29,211
"656","North Carolina",2022-11-05,281
"657","North Carolina",2022-11-12,371
"658","North Carolina",2022-11-19,369
"659","North Carolina",2022-11-26,467
"660","North Carolina",2022-12-03,600
"661","North Carolina",2022-12-10,385
"662","North Carolina",2022-12-17,316
"663","North Carolina",2022-12-24,299
"664","North Carolina",2022-12-31,312
"665","North Carolina",2023-01-07,197
"666","North Dakota",2022-09-03,5
"667","North Dakota",2022-09-10,0
"668","North Dakota",2022-09-17,0
"669","North Dakota",2022-09-24,1
"670","North Dakota",2022-10-01,0
"671","North Dakota",2022-10-08,0
"672","North Dakota",2022-10-15,2
"673","North Dakota",2022-10-22,1
"674","North Dakota",2022-10-29,2
"675","North Dakota",2022-11-05,5
"676","North Dakota",2022-11-12,10
"677","North Dakota",2022-11-19,12
"678","North Dakota",2022-11-26,28
"679","North Dakota",2022-12-03,49
"680","North Dakota",2022-12-10,59
"681","North Dakota",2022-12-17,95
"682","North Dakota",2022-12-24,70
"683","North Dakota",2022-12-31,81
"684","North Dakota",2023-01-07,69
"685","Ohio",2022-09-03,13
"686","Ohio",2022-09-10,16
"687","Ohio",2022-09-17,5
"688","Ohio",2022-09-24,12
"689","Ohio",2022-10-01,17
"690","Ohio",2022-10-08,18
"691","Ohio",2022-10-15,32
"692","Ohio",2022-10-22,39
"693","Ohio",2022-10-29,115
"694","Ohio",2022-11-05,211
"695","Ohio",2022-11-12,244
"696","Ohio",2022-11-19,329
"697","Ohio",2022-11-26,646
"698","Ohio",2022-12-03,966
"699","Ohio",2022-12-10,952
"700","Ohio",2022-12-17,985
"701","Ohio",2022-12-24,785
"702","Ohio",2022-12-31,689
"703","Ohio",2023-01-07,442
"704","Oklahoma",2022-09-03,9
"705","Oklahoma",2022-09-10,10
"706","Oklahoma",2022-09-17,9
"707","Oklahoma",2022-09-24,8
"708","Oklahoma",2022-10-01,6
"709","Oklahoma",2022-10-08,7
"710","Oklahoma",2022-10-15,17
"711","Oklahoma",2022-10-22,36
"712","Oklahoma",2022-10-29,59
"713","Oklahoma",2022-11-05,46
"714","Oklahoma",2022-11-12,85
"715","Oklahoma",2022-11-19,177
"716","Oklahoma",2022-11-26,426
"717","Oklahoma",2022-12-03,829
"718","Oklahoma",2022-12-10,871
"719","Oklahoma",2022-12-17,691
"720","Oklahoma",2022-12-24,567
"721","Oklahoma",2022-12-31,585
"722","Oklahoma",2023-01-07,394
"723","Oregon",2022-09-03,0
"724","Oregon",2022-09-10,1
"725","Oregon",2022-09-17,1
"726","Oregon",2022-09-24,1
"727","Oregon",2022-10-01,1
"728","Oregon",2022-10-08,1
"729","Oregon",2022-10-15,2
"730","Oregon",2022-10-22,6
