"model","location_name","relative_WIS","season"
"IEM_Health-FluProject","District of Columbia",1.21364812308325,"2021-2022"
"IEM_Health-FluProject","Florida",0.959040795720715,"2021-2022"
"IEM_Health-FluProject","Georgia",3.83752565859428,"2021-2022"
"IEM_Health-FluProject","Hawaii",0.98770139127234,"2021-2022"
"IEM_Health-FluProject","Idaho",1.37419281811228,"2021-2022"
"IEM_Health-FluProject","Illinois",1.22762290035611,"2021-2022"
"IEM_Health-FluProject","Indiana",1.15734348547486,"2021-2022"
"IEM_Health-FluProject","Iowa",0.998810429203704,"2021-2022"
"IEM_Health-FluProject","Kansas",1.00218473781533,"2021-2022"
"IEM_Health-FluProject","Kentucky",0.852367965449811,"2021-2022"
"IEM_Health-FluProject","Louisiana",2.03594101388489,"2021-2022"
"IEM_Health-FluProject","Maine",1.05356785809902,"2021-2022"
"IEM_Health-FluProject","Maryland",1.08538138681408,"2021-2022"
"IEM_Health-FluProject","Massachusetts",0.846553765842233,"2021-2022"
"IEM_Health-FluProject","Michigan",1.15143653696122,"2021-2022"
"IEM_Health-FluProject","Minnesota",0.921262243462893,"2021-2022"
"IEM_Health-FluProject","Mississippi",1.42268043648612,"2021-2022"
"IEM_Health-FluProject","Missouri",1.28764691938068,"2021-2022"
"IEM_Health-FluProject","Montana",0.991761749142853,"2021-2022"
"IEM_Health-FluProject","Nebraska",0.930207622506084,"2021-2022"
"IEM_Health-FluProject","Nevada",0.869116129004157,"2021-2022"
"IEM_Health-FluProject","New Hampshire",0.892071981793267,"2021-2022"
"IEM_Health-FluProject","New Jersey",0.825803928461146,"2021-2022"
"IEM_Health-FluProject","New Mexico",1.04222703104974,"2021-2022"
"IEM_Health-FluProject","New York",0.841897405797914,"2021-2022"
"IEM_Health-FluProject","North Carolina",1.07529664296291,"2021-2022"
"IEM_Health-FluProject","North Dakota",0.833812889706306,"2021-2022"
"IEM_Health-FluProject","Ohio",1.30784901134383,"2021-2022"
"IEM_Health-FluProject","Oklahoma",1.22082727374507,"2021-2022"
"IEM_Health-FluProject","Oregon",1.26438161131738,"2021-2022"
"IEM_Health-FluProject","Pennsylvania",1.04257832030282,"2021-2022"
"IEM_Health-FluProject","Puerto Rico",0.937271697456446,"2021-2022"
"IEM_Health-FluProject","Rhode Island",1.03318638599164,"2021-2022"
"IEM_Health-FluProject","South Carolina",0.924835007932907,"2021-2022"
"IEM_Health-FluProject","South Dakota",0.897952705614381,"2021-2022"
"IEM_Health-FluProject","Tennessee",0.711679596455474,"2021-2022"
"IEM_Health-FluProject","Texas",0.821890708818335,"2021-2022"
"IEM_Health-FluProject","Utah",0.932824162160806,"2021-2022"
"IEM_Health-FluProject","Vermont",0.825086271076129,"2021-2022"
"IEM_Health-FluProject","Virginia",2.76398379286353,"2021-2022"
"IEM_Health-FluProject","Washington",1.10366739644384,"2021-2022"
"IEM_Health-FluProject","West Virginia",1.17032271037823,"2021-2022"
"IEM_Health-FluProject","Wisconsin",0.966796772283159,"2021-2022"
"IEM_Health-FluProject","Wyoming",0.81942872797875,"2021-2022"
"LUcompUncertLab-TEVA","Alabama",0.816795452619654,"2021-2022"
"LUcompUncertLab-TEVA","Alaska",0.953322959078539,"2021-2022"
"LUcompUncertLab-TEVA","Arizona",1.18195375611538,"2021-2022"
"LUcompUncertLab-TEVA","Arkansas",0.863310169128126,"2021-2022"
"LUcompUncertLab-TEVA","California",0.822194511532386,"2021-2022"
"LUcompUncertLab-TEVA","Colorado",1.34472109019599,"2021-2022"
"LUcompUncertLab-TEVA","Connecticut",1.08952058271943,"2021-2022"
"LUcompUncertLab-TEVA","Delaware",0.930448411372201,"2021-2022"
"LUcompUncertLab-TEVA","District of Columbia",1.14920517465745,"2021-2022"
"LUcompUncertLab-TEVA","Florida",1.55775345623663,"2021-2022"
"LUcompUncertLab-TEVA","Georgia",1.04444442716175,"2021-2022"
"LUcompUncertLab-TEVA","Hawaii",0.839344060349733,"2021-2022"
"LUcompUncertLab-TEVA","Idaho",1.79184363685406,"2021-2022"
"LUcompUncertLab-TEVA","Illinois",1.26583507545349,"2021-2022"
"LUcompUncertLab-TEVA","Indiana",1.27410428388148,"2021-2022"
"LUcompUncertLab-TEVA","Iowa",1.21925700357592,"2021-2022"
"LUcompUncertLab-TEVA","Kansas",0.891512030350238,"2021-2022"
"LUcompUncertLab-TEVA","Kentucky",0.982036085460944,"2021-2022"
"LUcompUncertLab-TEVA","Louisiana",1.40525066302322,"2021-2022"
"LUcompUncertLab-TEVA","Maine",1.08013858073867,"2021-2022"
"LUcompUncertLab-TEVA","Maryland",1.01840180474971,"2021-2022"
"LUcompUncertLab-TEVA","Massachusetts",1.28057917304594,"2021-2022"
"LUcompUncertLab-TEVA","Michigan",1.26451191455311,"2021-2022"
"LUcompUncertLab-TEVA","Minnesota",1.59434445554833,"2021-2022"
"LUcompUncertLab-TEVA","Mississippi",1.03393864087484,"2021-2022"
"LUcompUncertLab-TEVA","Missouri",0.93929503564699,"2021-2022"
"LUcompUncertLab-TEVA","Montana",1.41940507168142,"2021-2022"
"LUcompUncertLab-TEVA","Nebraska",1.10988507593436,"2021-2022"
